system,reference,variable,treatment_mean,reference_mean,p_value,comparison,entry
NA,Alley,active_carbon,519.3774988875,467.41395692500004,0.10252959447997806,entry,A
NA,Alley,active_carbon,538.8568496625,467.41395692500004,0.03825294437998262,entry,B
NA,Alley,active_carbon,484.573363175,467.41395692500004,0.5877261516983062,entry,Corn
Corn,Alley,active_carbon,484.573363175,467.41395692500004,0.5877261516983062,system,NA
EWM,Alley,active_carbon,523.5298531125,467.41395692500004,0.0795265519714477,system,NA
HF,Alley,active_carbon,577.6472277500001,467.41395692500004,0.0209133833934512,system,NA
LF,Alley,active_carbon,509.848704875,467.41395692500004,0.16090631814083767,system,NA
RT,Alley,active_carbon,505.4429113625,467.41395692500004,0.3045471210861287,system,NA
Corn,Alley,active_carbon,484.573363175,467.41395692500004,0.5877261516983062,system_entry,Corn
EWM,Alley,active_carbon,517.037104775,467.41395692500004,0.11115175452061003,system_entry,A
EWM,Alley,active_carbon,530.02260145,467.41395692500004,0.05942680044876451,system_entry,B
HF,Alley,active_carbon,577.4131322750001,467.41395692500004,0.04505970847628512,system_entry,A
HF,Alley,active_carbon,577.881323225,467.41395692500004,0.18147964603125466,system_entry,B
LF,Alley,active_carbon,501.732769475,467.41395692500004,0.3510100024547044,system_entry,A
LF,Alley,active_carbon,517.964640275,467.41395692500004,0.112703873366518,system_entry,B
RT,Alley,active_carbon,481.326989025,467.41395692500004,0.7733603549266028,system_entry,A
RT,Alley,active_carbon,529.5588336999999,467.41395692500004,0.2213548106929618,system_entry,B
NA,Alley,aggregate_stability,14.3419447580625,23.2747736425,3.915315052629049e-4,entry,A
NA,Alley,aggregate_stability,17.45125664375,23.2747736425,0.004986588713047756,entry,B
NA,Alley,aggregate_stability,5.716788834,23.2747736425,5.1304660514366016e-5,entry,Corn
Corn,Alley,aggregate_stability,5.716788834,23.2747736425,5.1304660514366016e-5,system,NA
EWM,Alley,aggregate_stability,13.735373331125,23.2747736425,3.3875672730379445e-4,system,NA
HF,Alley,aggregate_stability,15.22462709375,23.2747736425,0.0010746568890888707,system,NA
LF,Alley,aggregate_stability,15.96692338,23.2747736425,0.005159552878355737,system,NA
RT,Alley,aggregate_stability,18.65947899875,23.2747736425,0.06755670263669998,system,NA
Corn,Alley,aggregate_stability,5.716788834,23.2747736425,5.1304660514366016e-5,system_entry,Corn
EWM,Alley,aggregate_stability,12.15739680225,23.2747736425,0.0024466827493556803,system_entry,A
EWM,Alley,aggregate_stability,15.313349859999999,23.2747736425,0.002572114095329462,system_entry,B
HF,Alley,aggregate_stability,14.4257587575,23.2747736425,0.001592882487767578,system_entry,A
HF,Alley,aggregate_stability,16.02349543,23.2747736425,0.008312093809268567,system_entry,B
LF,Alley,aggregate_stability,14.417346187500002,23.2747736425,0.0412815098145609,system_entry,A
LF,Alley,aggregate_stability,17.5165005725,23.2747736425,0.05987885484966548,system_entry,B
RT,Alley,aggregate_stability,16.367277285,23.2747736425,0.022079476799055003,system_entry,A
RT,Alley,aggregate_stability,20.9516807125,23.2747736425,0.5417081494579019,system_entry,B
NA,Alley,al,1.6807614253125,1.857060698,0.10573486718519855,entry,A
NA,Alley,al,1.809420292125,1.857060698,0.6483290115614335,entry,B
NA,Alley,al,2.5055488095,1.857060698,0.03793896093578576,entry,Corn
Corn,Alley,al,2.5055488095,1.857060698,0.03793896093578576,system,NA
EWM,Alley,al,1.72669973275,1.857060698,0.3962401800948637,system,NA
HF,Alley,al,1.587908022625,1.857060698,0.003150456304342954,system,NA
LF,Alley,al,1.7950550125,1.857060698,0.6722277325166713,system,NA
RT,Alley,al,1.870700667,1.857060698,0.9442690867432619,system,NA
Corn,Alley,al,2.5055488095,1.857060698,0.03793896093578576,system_entry,Corn
EWM,Alley,al,1.5332151455,1.857060698,0.1039827749216417,system_entry,A
EWM,Alley,al,1.9201843200000002,1.857060698,0.7927054972258512,system_entry,B
HF,Alley,al,1.527249286,1.857060698,0.01784769555657867,system_entry,A
HF,Alley,al,1.64856675925,1.857060698,0.09725714098902581,system_entry,B
LF,Alley,al,1.7427978165,1.857060698,0.4184140184454068,system_entry,A
LF,Alley,al,1.8473122085,1.857060698,0.9732690702077035,system_entry,B
RT,Alley,al,1.91978345325,1.857060698,0.8641526851316168,system_entry,A
RT,Alley,al,1.8216178807499999,1.857060698,0.8805029949276957,system_entry,B
NA,Alley,ca,2285.4385976875,2016.104956,0.525318667167483,entry,A
NA,Alley,ca,2367.484147,2016.104956,0.39929654579117824,entry,B
NA,Alley,ca,1932.50222425,2016.104956,0.902978352525664,entry,Corn
Corn,Alley,ca,1932.50222425,2016.104956,0.902978352525664,system,NA
EWM,Alley,ca,1998.521691125,2016.104956,0.9628097758960957,system,NA
HF,Alley,ca,2667.334493,2016.104956,0.3437468476192994,system,NA
LF,Alley,ca,1920.36990525,2016.104956,0.7818224251748065,system,NA
RT,Alley,ca,2719.6194,2016.104956,0.23401573150781393,system,NA
Corn,Alley,ca,1932.50222425,2016.104956,0.902978352525664,system_entry,Corn
EWM,Alley,ca,1951.17078925,2016.104956,0.8953663274585,system_entry,A
EWM,Alley,ca,2045.872593,2016.104956,0.9475590381520844,system_entry,B
HF,Alley,ca,2437.3523972499997,2016.104956,0.665968513499062,system_entry,A
HF,Alley,ca,2897.31658875,2016.104956,0.42118674913807,system_entry,B
LF,Alley,ca,1903.80537775,2016.104956,0.7906129996968506,system_entry,A
LF,Alley,ca,1936.93443275,2016.104956,0.8362227434178555,system_entry,B
RT,Alley,ca,2849.4258265,2016.104956,0.3906873798516442,system_entry,A
RT,Alley,ca,2589.8129735,2016.104956,0.45417617181349795,system_entry,B
NA,Alley,cu,0.0669143775,0.07108308975,0.38815541659837033,entry,A
NA,Alley,cu,0.08205156887500001,0.07108308975,0.15675960305410674,entry,B
NA,Alley,cu,0.05078450325,0.07108308975,0.00574397821572293,entry,Corn
Corn,Alley,cu,0.05078450325,0.07108308975,0.00574397821572293,system,NA
EWM,Alley,cu,0.0782527195,0.07108308975,0.6013641544759317,system,NA
HF,Alley,cu,0.072602936125,0.07108308975,0.8337034248821719,system,NA
LF,Alley,cu,0.072793579625,0.07108308975,0.7886404921432228,system,NA
RT,Alley,cu,0.0742826575,0.07108308975,0.5673046299977265,system,NA
Corn,Alley,cu,0.05078450325,0.07108308975,0.00574397821572293,system_entry,Corn
EWM,Alley,cu,0.06318915825,0.07108308975,0.20121449855066317,system_entry,A
EWM,Alley,cu,0.09331628075000001,0.07108308975,0.42643147116362684,system_entry,B
HF,Alley,cu,0.06631927274999999,0.07108308975,0.48046147362004643,system_entry,A
HF,Alley,cu,0.0788865995,0.07108308975,0.5351776833596796,system_entry,B
LF,Alley,cu,0.07291484200000001,0.07108308975,0.848801985816293,system_entry,A
LF,Alley,cu,0.07267231725,0.07108308975,0.849814899446997,system_entry,B
RT,Alley,cu,0.065234237,0.07108308975,0.28412494295414514,system_entry,A
RT,Alley,cu,0.083331078,0.07108308975,0.03859446046912686,system_entry,B
NA,Alley,fe,0.507185825625,0.41487801125,0.14088458677894974,entry,A
NA,Alley,fe,0.5532679361875,0.41487801125,0.01632969173731691,entry,B
NA,Alley,fe,0.52773358925,0.41487801125,0.04823030451790431,entry,Corn
Corn,Alley,fe,0.52773358925,0.41487801125,0.04823030451790431,system,NA
EWM,Alley,fe,0.504564444875,0.41487801125,0.17063078057850298,system,NA
HF,Alley,fe,0.467531689875,0.41487801125,0.21496291864592892,system,NA
LF,Alley,fe,0.5592519585,0.41487801125,0.15411920780139002,system,NA
RT,Alley,fe,0.589559430375,0.41487801125,0.1151460481477351,system,NA
Corn,Alley,fe,0.52773358925,0.41487801125,0.04823030451790431,system_entry,Corn
EWM,Alley,fe,0.40338232949999997,0.41487801125,0.6984171301603423,system_entry,A
EWM,Alley,fe,0.60574656025,0.41487801125,0.10668872394035003,system_entry,B
HF,Alley,fe,0.45210991325,0.41487801125,0.4173842779165376,system_entry,A
HF,Alley,fe,0.48295346650000004,0.41487801125,0.3311002632422967,system_entry,B
LF,Alley,fe,0.5493632085,0.41487801125,0.24496432724341421,system_entry,A
LF,Alley,fe,0.5691407085,0.41487801125,0.4250292669492694,system_entry,B
RT,Alley,fe,0.62388785125,0.41487801125,0.3749911072669279,system_entry,A
RT,Alley,fe,0.5552310094999999,0.41487801125,0.030972404308714563,system_entry,B
NA,Alley,k,34.186952571875,33.473405145,0.8439656231282844,entry,A
NA,Alley,k,37.195470410625,33.473405145,0.3669418412426228,entry,B
NA,Alley,k,31.48840818,33.473405145,0.6652916203894125,entry,Corn
Corn,Alley,k,31.48840818,33.473405145,0.6652916203894125,system,NA
EWM,Alley,k,34.1411328675,33.473405145,0.8632267907060067,system,NA
HF,Alley,k,38.4401481225,33.473405145,0.42564972368297915,system,NA
LF,Alley,k,33.0254731025,33.473405145,0.8974786958195395,system,NA
RT,Alley,k,37.1580918725,33.473405145,0.3351122533587475,system,NA
Corn,Alley,k,31.48840818,33.473405145,0.6652916203894125,system_entry,Corn
EWM,Alley,k,31.901578735,33.473405145,0.6789048803558186,system_entry,A
EWM,Alley,k,36.380687,33.473405145,0.5763312974338166,system_entry,B
HF,Alley,k,36.4124618025,33.473405145,0.6929807265465809,system_entry,A
HF,Alley,k,40.4678344425,33.473405145,0.5083423733870538,system_entry,B
LF,Alley,k,33.11860494,33.473405145,0.9209044358591432,system_entry,A
LF,Alley,k,32.932341265,33.473405145,0.8906917154514742,system_entry,B
RT,Alley,k,35.31516481,33.473405145,0.6454778564150717,system_entry,A
RT,Alley,k,39.001018935,33.473405145,0.20179636648487992,system_entry,B
NA,Alley,mg,161.873464575,164.49450655,0.8051427361536125,entry,A
NA,Alley,mg,165.60012900625,164.49450655,0.9163669457315305,entry,B
NA,Alley,mg,132.47547277500001,164.49450655,0.11805423017547219,entry,Corn
Corn,Alley,mg,132.47547277500001,164.49450655,0.11805423017547219,system,NA
EWM,Alley,mg,163.411367225,164.49450655,0.92537398151208,system,NA
HF,Alley,mg,155.8389371125,164.49450655,0.44748164012842606,system,NA
LF,Alley,mg,170.2750868375,164.49450655,0.6099000675558959,system,NA
RT,Alley,mg,165.4217959875,164.49450655,0.9386853574800094,system,NA
Corn,Alley,mg,132.47547277500001,164.49450655,0.11805423017547219,system_entry,Corn
EWM,Alley,mg,160.26387110000002,164.49450655,0.7525903010511041,system_entry,A
EWM,Alley,mg,166.55886335,164.49450655,0.8878630880289192,system_entry,B
HF,Alley,mg,152.3813883,164.49450655,0.3294129237010295,system_entry,A
HF,Alley,mg,159.296485925,164.49450655,0.7102387732066873,system_entry,B
LF,Alley,mg,171.2927837,164.49450655,0.6305364481259674,system_entry,A
LF,Alley,mg,169.257389975,164.49450655,0.7075764036812822,system_entry,B
RT,Alley,mg,163.5558152,164.49450655,0.9526482842219086,system_entry,A
RT,Alley,mg,167.287776775,164.49450655,0.8471603573162232,system_entry,B
NA,Alley,mn,4.1814003664375,3.300385805,0.14398450120192474,entry,A
NA,Alley,mn,3.9266871599375,3.300385805,0.21841603277861785,entry,B
NA,Alley,mn,3.883916584,3.300385805,0.4875527140641349,entry,Corn
Corn,Alley,mn,3.883916584,3.300385805,0.4875527140641349,system,NA
EWM,Alley,mn,3.404381547875,3.300385805,0.8242610389357028,system,NA
HF,Alley,mn,3.826399833875,3.300385805,0.472854491555993,system,NA
LF,Alley,mn,4.499345124625,3.300385805,0.23629829534720376,system,NA
RT,Alley,mn,4.486048546375,3.300385805,0.06099434318825799,system,NA
Corn,Alley,mn,3.883916584,3.300385805,0.4875527140641349,system_entry,Corn
EWM,Alley,mn,3.217418821,3.300385805,0.8883682411343597,system_entry,A
EWM,Alley,mn,3.59134427475,3.300385805,0.6617461309447568,system_entry,B
HF,Alley,mn,3.4425863407499997,3.300385805,0.8894277915611369,system_entry,A
HF,Alley,mn,4.210213327,3.300385805,0.43267338345101103,system_entry,B
LF,Alley,mn,5.11039861575,3.300385805,0.29640707814331696,system_entry,A
LF,Alley,mn,3.8882916335,3.300385805,0.6615759604613553,system_entry,B
RT,Alley,mn,4.95519768825,3.300385805,0.1503327778582053,system_entry,A
RT,Alley,mn,4.0168994045,3.300385805,0.20550267378038567,system_entry,B
NA,Alley,organic_matter,3.0834383343125,3.1164329805,0.8724372006653714,entry,A
NA,Alley,organic_matter,3.2500387541875,3.1164329805,0.5277877739251269,entry,B
NA,Alley,organic_matter,2.8065185335,3.1164329805,0.17639605614226406,entry,Corn
Corn,Alley,organic_matter,2.8065185335,3.1164329805,0.17639605614226406,system,NA
EWM,Alley,organic_matter,3.0388269011249998,3.1164329805,0.7061254608772133,system,NA
HF,Alley,organic_matter,3.26148675575,3.1164329805,0.5101060975003289,system,NA
LF,Alley,organic_matter,3.2332273145,3.1164329805,0.6320216190217355,system,NA
RT,Alley,organic_matter,3.133413205625,3.1164329805,0.9409498609731084,system,NA
Corn,Alley,organic_matter,2.8065185335,3.1164329805,0.17639605614226406,system_entry,Corn
EWM,Alley,organic_matter,2.9522783332499998,3.1164329805,0.45770319237801743,system_entry,A
EWM,Alley,organic_matter,3.1253754689999997,3.1164329805,0.9673745955511583,system_entry,B
HF,Alley,organic_matter,3.202391721,3.1164329805,0.6616708722960262,system_entry,A
HF,Alley,organic_matter,3.3205817905,3.1164329805,0.49869835552323205,system_entry,B
LF,Alley,organic_matter,3.20283531225,3.1164329805,0.8070825772565987,system_entry,A
LF,Alley,organic_matter,3.26361931675,3.1164329805,0.5685856653707162,system_entry,B
RT,Alley,organic_matter,2.9762479707500002,3.1164329805,0.5561466995072817,system_entry,A
RT,Alley,organic_matter,3.2905784405,3.1164329805,0.5555550132793079,system_entry,B
NA,Alley,p,2.48710351075,1.52049948175,0.288145559757406,entry,A
NA,Alley,p,3.7374828930000006,1.52049948175,0.17363013842653113,entry,B
NA,Alley,p,1.333754911,1.52049948175,0.2560401643566495,entry,Corn
Corn,Alley,p,1.333754911,1.52049948175,0.2560401643566495,system,NA
EWM,Alley,p,1.656898787375,1.52049948175,0.44610347370478287,system,NA
HF,Alley,p,6.83522793525,1.52049948175,0.1506576499006732,system,NA
LF,Alley,p,1.578275057375,1.52049948175,0.794109511550118,system,NA
RT,Alley,p,2.3787710275,1.52049948175,0.09155288692151904,system,NA
Corn,Alley,p,1.333754911,1.52049948175,0.2560401643566495,system_entry,Corn
EWM,Alley,p,1.3550156315000002,1.52049948175,0.2236002728999206,system_entry,A
EWM,Alley,p,1.95878194325,1.52049948175,0.08961903473803935,system_entry,B
HF,Alley,p,5.3274455645,1.52049948175,0.3416160329226888,system_entry,A
HF,Alley,p,8.343010306,1.52049948175,0.34751891775744287,system_entry,B
LF,Alley,p,1.4742447625,1.52049948175,0.8832794368991133,system_entry,A
LF,Alley,p,1.68230535225,1.52049948175,0.6406589972364776,system_entry,B
RT,Alley,p,1.7917080845000002,1.52049948175,0.5559543029277687,system_entry,A
RT,Alley,p,2.9658339705,1.52049948175,0.13013322484648412,system_entry,B
NA,Alley,ph,8.197375000000001,8.23675,0.3798512711285037,entry,A
NA,Alley,ph,8.25625,8.23675,0.6691425650131134,entry,B
NA,Alley,ph,8.0915,8.23675,0.051571974677375405,entry,Corn
Corn,Alley,ph,8.0915,8.23675,0.051571974677375405,system,NA
EWM,Alley,ph,8.254625,8.23675,0.7508977148666753,system,NA
HF,Alley,ph,8.183,8.23675,0.44882232198236194,system,NA
LF,Alley,ph,8.206,8.23675,0.6294887214228786,system,NA
RT,Alley,ph,8.263625000000001,8.23675,0.6247012660648879,system,NA
Corn,Alley,ph,8.0915,8.23675,0.051571974677375405,system_entry,Corn
EWM,Alley,ph,8.2185,8.23675,0.8444710297760807,system_entry,A
EWM,Alley,ph,8.29075,8.23675,0.4531430855311946,system_entry,B
HF,Alley,ph,8.1305,8.23675,0.3322764487022199,system_entry,A
HF,Alley,ph,8.2355,8.23675,0.9903950318562157,system_entry,B
LF,Alley,ph,8.1955,8.23675,0.5860626635007191,system_entry,A
LF,Alley,ph,8.2165,8.23675,0.8605479408206613,system_entry,B
RT,Alley,ph,8.245000000000001,8.23675,0.9211390756238995,system_entry,A
RT,Alley,ph,8.282250000000001,8.23675,0.5754935232925251,system_entry,B
NA,Alley,pred_soil_protein,5.328508912,5.0072200865,0.5431584316000804,entry,A
NA,Alley,pred_soil_protein,5.5792194841875,5.0072200865,0.3026724188592353,entry,B
NA,Alley,pred_soil_protein,4.7264794525000005,5.0072200865,0.5934057363244742,entry,Corn
Corn,Alley,pred_soil_protein,4.7264794525000005,5.0072200865,0.5934057363244742,system,NA
EWM,Alley,pred_soil_protein,5.214007425875,5.0072200865,0.6793195308254987,system,NA
HF,Alley,pred_soil_protein,5.849807919375,5.0072200865,0.19227224815326177,system,NA
LF,Alley,pred_soil_protein,5.482022590875,5.0072200865,0.4189209446755004,system,NA
RT,Alley,pred_soil_protein,5.26961885625,5.0072200865,0.6339436111468018,system,NA
Corn,Alley,pred_soil_protein,4.7264794525000005,5.0072200865,0.5934057363244742,system_entry,Corn
EWM,Alley,pred_soil_protein,5.07862624825,5.0072200865,0.8876801314310367,system_entry,A
EWM,Alley,pred_soil_protein,5.3493886035,5.0072200865,0.5110128943654146,system_entry,B
HF,Alley,pred_soil_protein,5.888031055,5.0072200865,0.22674219834451112,system_entry,A
HF,Alley,pred_soil_protein,5.81158478375,5.0072200865,0.3656938092120568,system_entry,B
LF,Alley,pred_soil_protein,5.42702478075,5.0072200865,0.5763565244639504,system_entry,A
LF,Alley,pred_soil_protein,5.5370204009999995,5.0072200865,0.42177121776016024,system_entry,B
RT,Alley,pred_soil_protein,4.920353564,5.0072200865,0.8735919491156952,system_entry,A
RT,Alley,pred_soil_protein,5.6188841485,5.0072200865,0.3637363490082255,system_entry,B
NA,Alley,pred_water_capacity,0.2111966846875,0.20334219625,0.12372791659295697,entry,A
NA,Alley,pred_water_capacity,0.21281709168750002,0.20334219625,0.08234531227992631,entry,B
NA,Alley,pred_water_capacity,0.21125773675,0.20334219625,0.12413813284141377,entry,Corn
Corn,Alley,pred_water_capacity,0.21125773675,0.20334219625,0.12413813284141377,system,NA
EWM,Alley,pred_water_capacity,0.20999626100000002,0.20334219625,0.18675514903872967,system,NA
HF,Alley,pred_water_capacity,0.21667101225,0.20334219625,0.034009559589990884,system,NA
LF,Alley,pred_water_capacity,0.211224504625,0.20334219625,0.14706399414028715,system,NA
RT,Alley,pred_water_capacity,0.21013577487500001,0.20334219625,0.2077042042734099,system,NA
Corn,Alley,pred_water_capacity,0.21125773675,0.20334219625,0.12413813284141377,system_entry,Corn
EWM,Alley,pred_water_capacity,0.21007291825000002,0.20334219625,0.20447108841981254,system_entry,A
EWM,Alley,pred_water_capacity,0.20991960375000002,0.20334219625,0.27882165777662016,system_entry,B
HF,Alley,pred_water_capacity,0.21441933475,0.20334219625,0.05226764013000917,system_entry,A
HF,Alley,pred_water_capacity,0.21892268975,0.20334219625,0.13135786555772325,system_entry,B
LF,Alley,pred_water_capacity,0.2120141615,0.20334219625,0.20318584875016465,system_entry,A
LF,Alley,pred_water_capacity,0.21043484775000001,0.20334219625,0.2740040187063039,system_entry,B
RT,Alley,pred_water_capacity,0.20828032424999998,0.20334219625,0.35038158692693283,system_entry,A
RT,Alley,pred_water_capacity,0.2119912255,0.20334219625,0.27053331592975566,system_entry,B
NA,Alley,respiration,0.7735246150625,0.827079047,0.06109375626278078,entry,A
NA,Alley,respiration,0.7260881558125,0.827079047,0.020840100528052765,entry,B
NA,Alley,respiration,0.4866005375,0.827079047,6.409188027798034e-5,entry,Corn
Corn,Alley,respiration,0.4866005375,0.827079047,6.409188027798034e-5,system,NA
EWM,Alley,respiration,0.717664859375,0.827079047,0.006495807531936889,system,NA
HF,Alley,respiration,0.8125377775,0.827079047,0.7926915841916271,system,NA
LF,Alley,respiration,0.722098173375,0.827079047,0.01631593688811443,system,NA
RT,Alley,respiration,0.7469247315,0.827079047,0.1892389358060084,system,NA
Corn,Alley,respiration,0.4866005375,0.827079047,6.409188027798034e-5,system_entry,Corn
EWM,Alley,respiration,0.73096480125,0.827079047,0.029365384373271238,system_entry,A
EWM,Alley,respiration,0.7043649175,0.827079047,0.09908836504281902,system_entry,B
HF,Alley,respiration,0.76820463825,0.827079047,0.297021263935813,system_entry,A
HF,Alley,respiration,0.85687091675,0.827079047,0.7745214739693534,system_entry,B
LF,Alley,respiration,0.7682046385,0.827079047,0.3329394819752866,system_entry,A
LF,Alley,respiration,0.67599170825,0.827079047,0.010802490795888844,system_entry,B
RT,Alley,respiration,0.82672438225,0.827079047,0.9949996754112529,system_entry,A
RT,Alley,respiration,0.66712508075,0.827079047,0.14473433014760073,system_entry,B
NA,Alley,s,3.1598621658125,2.9264785077499997,0.5554185721209185,entry,A
NA,Alley,s,2.9932386875625,2.9264785077499997,0.8640321279718592,entry,B
NA,Alley,s,3.22095287925,2.9264785077499997,0.4779307044285098,entry,Corn
Corn,Alley,s,3.22095287925,2.9264785077499997,0.4779307044285098,system,NA
EWM,Alley,s,2.741020110625,2.9264785077499997,0.6391538392370402,system,NA
HF,Alley,s,3.418934483625,2.9264785077499997,0.2875472626256081,system,NA
LF,Alley,s,3.010740884375,2.9264785077499997,0.835436825224303,system,NA
RT,Alley,s,3.135506228125,2.9264785077499997,0.6153162651429638,system,NA
Corn,Alley,s,3.22095287925,2.9264785077499997,0.4779307044285098,system_entry,Corn
EWM,Alley,s,2.83986500275,2.9264785077499997,0.8535277585311514,system_entry,A
EWM,Alley,s,2.6421752185,2.9264785077499997,0.4790068005951226,system_entry,B
HF,Alley,s,3.4835349385,2.9264785077499997,0.30455484928665355,system_entry,A
HF,Alley,s,3.3543340287500003,2.9264785077499997,0.4749704051150493,system_entry,B
LF,Alley,s,3.1547169,2.9264785077499997,0.5517601128629609,system_entry,A
LF,Alley,s,2.86676486875,2.9264785077499997,0.9117316826979773,system_entry,B
RT,Alley,s,3.161331822,2.9264785077499997,0.6737816376931911,system_entry,A
RT,Alley,s,3.10968063425,2.9264785077499997,0.6519351567870039,system_entry,B
NA,Alley,soc,1.893326060375,1.7960124805,0.5924403785333043,entry,A
NA,Alley,soc,1.97657621075,1.7960124805,0.33963305646885417,entry,B
NA,Alley,soc,1.66194572025,1.7960124805,0.45725427856136575,entry,Corn
Corn,Alley,soc,1.66194572025,1.7960124805,0.45725427856136575,system,NA
EWM,Alley,soc,1.8605912176250001,1.7960124805,0.708229407027122,system,NA
HF,Alley,soc,2.021972174125,1.7960124805,0.2859570637471505,system,NA
LF,Alley,soc,1.956387482375,1.7960124805,0.45997959768703156,system,NA
RT,Alley,soc,1.9008536681250001,1.7960124805,0.5994757039673457,system,NA
Corn,Alley,soc,1.66194572025,1.7960124805,0.45725427856136575,system_entry,Corn
EWM,Alley,soc,1.83512925575,1.7960124805,0.828754635124215,system_entry,A
EWM,Alley,soc,1.8860531795000002,1.7960124805,0.6221220114393745,system_entry,B
